                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8441,                0.03105,                0.15525,                  3.867,             0.00023635,             0.00023635,             0.00023635
                      2,                   3.74,                0.03927,                0.18082,                 3.8561,             0.00046496,             0.00046496,             0.00046496
                      3,                  3.616,                0.14795,                0.37717,                 3.8081,             0.00068414,             0.00068414,             0.00068414
                      4,                 3.5339,                0.11416,                0.34429,                 3.8385,             0.00067159,             0.00067159,             0.00067159
                      5,                 3.4314,                0.17534,                0.43562,                 3.7807,             0.00065745,             0.00065745,             0.00065745
                      6,                 3.3279,                0.19543,                0.45753,                 3.7725,             0.00064331,             0.00064331,             0.00064331
                      7,                 3.2857,                0.21553,                0.47763,                 3.7644,             0.00062918,             0.00062918,             0.00062918
                      8,                 3.2094,                0.22192,                0.50776,                 3.7576,             0.00061504,             0.00061504,             0.00061504
                      9,                 3.1606,                0.23379,                0.52877,                 3.7609,              0.0006009,              0.0006009,              0.0006009
                     10,                 3.1467,                 0.2621,                0.52877,                 3.7515,             0.00058677,             0.00058677,             0.00058677
                     11,                 3.0628,                0.25753,                0.54429,                 3.7508,             0.00057263,             0.00057263,             0.00057263
                     12,                 3.0393,                0.24292,                0.54155,                  3.726,             0.00055849,             0.00055849,             0.00055849
                     13,                 2.9856,                0.27123,                0.52785,                 3.7163,             0.00054435,             0.00054435,             0.00054435
                     14,                 2.9886,                0.27032,                0.55525,                 3.7297,             0.00053022,             0.00053022,             0.00053022
                     15,                 2.9037,                0.28128,                0.57808,                 3.7152,             0.00051608,             0.00051608,             0.00051608
                     16,                 2.8738,                0.28493,                0.58447,                 3.7147,             0.00050194,             0.00050194,             0.00050194
                     17,                 2.8774,                0.28584,                0.58813,                 3.7102,              0.0004878,              0.0004878,              0.0004878
                     18,                 2.7995,                0.29772,                0.59178,                 3.6983,             0.00047367,             0.00047367,             0.00047367
                     19,                 2.7878,                0.30776,                0.59452,                 3.6869,             0.00045953,             0.00045953,             0.00045953
                     20,                 2.7067,                0.31963,                0.60639,                 3.6822,             0.00044539,             0.00044539,             0.00044539
                     21,                 2.6939,                0.32237,                0.61187,                 3.6742,             0.00043126,             0.00043126,             0.00043126
                     22,                 2.6081,                0.33242,                0.61735,                 3.6698,             0.00041712,             0.00041712,             0.00041712
                     23,                 2.6372,                0.32055,                 0.6347,                 3.6681,             0.00040298,             0.00040298,             0.00040298
                     24,                  2.612,                0.31963,                0.60548,                  3.668,             0.00038884,             0.00038884,             0.00038884
                     25,                 2.5532,                0.34155,                0.64018,                 3.6445,             0.00037471,             0.00037471,             0.00037471
                     26,                 2.5064,                0.36895,                0.66027,                 3.6396,             0.00036057,             0.00036057,             0.00036057
                     27,                 2.4425,                0.34795,                0.63927,                 3.6364,             0.00034643,             0.00034643,             0.00034643
                     28,                 2.4374,                0.33242,                0.62009,                 3.6575,              0.0003323,              0.0003323,              0.0003323
                     29,                 2.3558,                0.37534,                0.66393,                  3.624,             0.00031816,             0.00031816,             0.00031816
                     30,                 2.3723,                0.36712,                0.65388,                 3.6309,             0.00030402,             0.00030402,             0.00030402
                     31,                 2.3432,                0.38721,                 0.6758,                 3.6069,             0.00028988,             0.00028988,             0.00028988
                     32,                  2.359,                0.39269,                0.68037,                 3.6113,             0.00027575,             0.00027575,             0.00027575
                     33,                 2.2297,                0.39909,                0.67763,                 3.5945,             0.00026161,             0.00026161,             0.00026161
                     34,                 2.2389,                0.38082,                0.66667,                 3.6025,             0.00024747,             0.00024747,             0.00024747
                     35,                 2.1769,                0.39178,                0.68493,                 3.5939,             0.00023334,             0.00023334,             0.00023334
                     36,                 2.1299,                0.41735,                 0.6895,                 3.5809,              0.0002192,              0.0002192,              0.0002192
                     37,                 2.1132,                0.41553,                0.67763,                 3.5775,             0.00020506,             0.00020506,             0.00020506
                     38,                 2.0861,                0.43196,                0.70502,                 3.5572,             0.00019092,             0.00019092,             0.00019092
                     39,                 2.0437,                0.43196,                0.68402,                 3.5604,             0.00017679,             0.00017679,             0.00017679
                     40,                 2.0185,                0.43196,                0.70776,                  3.559,             0.00016265,             0.00016265,             0.00016265
                     41,                 2.0044,                0.42831,                0.70776,                 3.5572,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.9536,                0.41918,                0.69772,                 3.5602,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.9022,                  0.421,                0.69772,                 3.5655,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.8782,                0.42831,                0.69772,                 3.5599,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.8662,                0.44566,                0.70776,                 3.5382,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.8426,                0.44018,                 0.7105,                 3.5444,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.8365,                0.43562,                0.70959,                  3.548,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.7718,                0.43744,                0.71233,                 3.5386,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.7666,                0.43653,                0.70959,                 3.5497,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 1.7415,                0.43927,                0.71598,                 3.5419,             2.1277e-05,             2.1277e-05,             2.1277e-05
